id,discord_id,discord_username,balance,total_legend_purchases,created_at,updated_at,team,all_time_superbowl_wins,milestone_tier_awarded,is_admin,all_time_h2h_wins,playoff_seed,playoff_conference,all_time_h2h_losses,bot_escalation_level,all_time_superbowl_losses,guild_id,ea_id,server_nickname
23,954239175400488990,snakesozoipad,0,0,2026-03-26 05:12:39.338073,2026-05-19 02:08:35.87,Chargers,0,1,f,6,,,13,0,0,1476251181524189438,,Chargers
3,1422323774224732280,samuelpatrickhunter,0,2,2026-03-26 04:44:22.906714,2026-05-19 01:21:52.176,Bills,0,2,t,17,,,13,0,0,1476251181524189438,,Bills (Commissioner)
26,1361823949847007294,smoke_1g4l,0,3,2026-03-26 05:14:39.987494,2026-05-15 00:02:38.986,Vikings,0,1,f,8,,,10,0,0,1476251181524189438,,Vikings
11,1143701948915273839,assnsaddiction_42154,100,2,2026-03-26 05:09:39.572579,2026-05-15 00:02:38.994,Giants,0,2,f,13,,,11,0,0,1476251181524189438,,Giants
33,845666283713331220,teefizzle1015907,495,0,2026-04-13 03:01:31.310883,2026-05-15 00:02:38.995,Rams,0,1,f,7,,,3,0,0,1476251181524189438,,Rams
32,1265890423986192416,truckman1404,1040,0,2026-04-09 02:11:41.693428,2026-04-23 15:40:16.337,Packers,0,0,f,3,,,5,0,0,1476251181524189438,,Packers
15,838230365252485120,lrico,1240,0,2026-03-26 05:10:26.696906,2026-04-23 15:40:20.711,Cowboys,0,0,f,3,,,11,0,0,1476251181524189438,,Cowboys 10-5 CST
25,498875162851147786,.bigtugboat,463,1,2026-03-26 05:14:22.409485,2026-05-15 00:02:38.977,Texans,0,0,f,4,,,10,1,0,1476251181524189438,,Texans
10,1146241207886950492,embazzy0783,171,4,2026-03-26 05:09:12.676683,2026-05-15 00:02:38.983,Raiders,0,2,f,21,,,7,0,0,1476251181524189438,,Raiders
29,633137901558824960,slick09145,0,8,2026-03-26 13:31:55.381843,2026-05-18 02:40:04.831,Patriots,0,2,t,23,,,4,5,0,1476251181524189438,,Patriots -4EST (Commissioner)
18,741719191148691516,brandannn_,0,3,2026-03-26 05:11:05.754292,2026-05-18 02:40:04.863,Broncos,1,0,t,27,,,4,1,1,1476251181524189438,,Broncos 🏆 (Commissioner)
28,1349158444204298358,the_biggest_tyme_66873,0,3,2026-03-26 13:27:10.129,2026-05-18 02:40:04.895,Jets,1,3,t,26,,,7,0,0,1476251181524189438,,Jets (Commissioner)
34,1323504969826959391,squekloc,680,0,2026-04-14 20:44:12.185719,2026-05-15 00:02:38.987,Falcons,0,1,f,5,,,3,0,0,1476251181524189438,,Falcons
6,435637796204576779,ryan08080627,473,1,2026-03-26 04:54:43.437209,2026-05-15 00:02:38.988,Saints,1,2,f,26,,,4,0,1,1476251181524189438,,Saints 🥈
9,1477612223663706185,reapdolla,0,2,2026-03-26 05:08:55.235592,2026-05-07 12:55:03.069,Cardinals,0,2,t,15,,,10,0,1,1476251181524189438,,Cardinals (Commissioner)
14,1037174918896439327,berlinstoejam,2467,2,2026-03-26 05:10:15.047143,2026-05-15 00:02:38.993,Eagles,0,2,f,15,,,10,0,0,1476251181524189438,,Eagles
37,386371913909272618,brandan319,10,0,2026-04-15 16:58:24.111164,2026-04-23 15:39:52.396,,0,0,f,0,,,0,0,0,1476251181524189438,,Broncos
24,1240155951571533924,kingmindset9,0,1,2026-03-26 05:13:39.226281,2026-05-11 17:48:46.901,Panthers,0,1,f,5,,,12,0,0,1476251181524189438,,Panthers
35,1427997748296155199,joegotit._42014,425,0,2026-04-15 01:31:36.69506,2026-04-23 15:40:17.22,Browns,0,0,f,2,,,5,0,0,1476251181524189438,,Browns
12,327476050202329088,ace_peets,1450,1,2026-03-26 05:09:54.87147,2026-05-15 00:02:38.973,Bengals,0,2,f,13,,,7,0,0,1476251181524189438,,Bengals
30,1037925434123358258,.leek25,0,1,2026-03-26 13:32:03.192632,2026-05-15 00:02:38.994,49ers,0,2,f,13,,,9,4,0,1476251181524189438,,49ers
20,1441233879330455672,deemill22_28175,1572,0,2026-03-26 05:11:31.757599,2026-04-25 15:43:15.441,Commanders,0,1,f,6,,,16,0,0,1476251181524189438,,Commanders
16,792819168461324290,kayo4l,0,1,2026-03-26 05:10:42.22366,2026-05-19 02:02:39.287,Jaguars,0,2,f,13,,,5,0,0,1476251181524189438,,Jaguars
