id,discord_id,season_id,result,point_spread,opponent_label,game_type,recorded_at,opponent_discord_id,guild_id
1385,792819168461324290,15,win,5,[CPU] San Francisco Niners,regular_season,2026-05-20 17:36:34.667921,,1497423447192768612
1386,1361823949847007294,15,win,7,[CPU] Buffalo Bills,regular_season,2026-05-20 17:36:35.00033,,1497423447192768612
1387,1037174918896439327,15,win,16,[CPU] Philadelphia Eagles,regular_season,2026-05-20 17:36:35.383432,,1497423447192768612
1388,1240155951571533924,15,win,12,Cleveland Browns,regular_season,2026-05-20 17:36:35.953458,633137901558824960,1497423447192768612
1389,633137901558824960,15,loss,-12,Cincinnati Bengals,regular_season,2026-05-20 17:36:36.006648,1240155951571533924,1497423447192768612
1390,1477612223663706185,15,win,15,Green Bay Pack,regular_season,2026-05-20 17:36:36.700308,1265890423986192416,1497423447192768612
1391,1265890423986192416,15,loss,-15,Chicago Bears,regular_season,2026-05-20 17:36:36.730826,1477612223663706185,1497423447192768612
1392,1143701948915273839,15,win,11,Miami Phins,regular_season,2026-05-20 17:36:37.473711,498875162851147786,1497423447192768612
1393,498875162851147786,15,loss,-11,Minnesota Vikes,regular_season,2026-05-20 17:36:37.505689,1143701948915273839,1497423447192768612
1394,1422323774224732280,15,win,17,[CPU] New England Pats,regular_season,2026-05-20 17:36:37.946621,,1497423447192768612
1395,1349158444204298358,15,win,1,Pittsburgh Steelers,regular_season,2026-05-20 17:36:38.453875,1037925434123358258,1497423447192768612
1396,1037925434123358258,15,loss,-1,Tennessee Titans,regular_season,2026-05-20 17:36:38.486146,1349158444204298358,1497423447192768612
1397,1219706528794152960,15,win,34,Jacksonville Jags,regular_season,2026-05-20 17:36:39.12431,838230365252485120,1497423447192768612
1398,838230365252485120,15,loss,-34,Denver Broncos,regular_season,2026-05-20 17:36:39.156503,1219706528794152960,1497423447192768612
1399,521551549873258506,15,win,52,Washington Commanders,regular_season,2026-05-20 17:36:39.894272,954239175400488990,1497423447192768612
1400,954239175400488990,15,loss,-52,Baltimore Ravens,regular_season,2026-05-20 17:36:39.92721,521551549873258506,1497423447192768612
