id,discord_id,season_id,dev_ups_purchased,age_resets_purchased,legends_purchased_this_season,core_attr_purchased,non_core_attr_purchased,contract_extensions_purchased,salary_reductions_purchased,bonus_reductions_purchased,training_gold_purchased,training_silver_purchased
86,1349158444204298358,15,0,0,0,0,0,0,0,0,0,0
87,1037925434123358258,15,0,0,0,0,0,0,0,0,0,0
80,1422323774224732280,15,0,0,0,0,0,0,0,0,0,0
81,521551549873258506,15,0,0,0,0,0,0,0,0,0,0
82,1361823949847007294,15,0,0,0,0,0,0,0,0,0,0
83,954239175400488990,15,0,0,0,0,0,0,0,0,0,0
84,792819168461324290,15,0,0,0,0,0,0,0,0,0,0
89,633137901558824960,15,0,0,0,0,0,0,0,0,0,0
90,1477612223663706185,15,0,0,0,0,0,0,0,0,0,0
91,1240155951571533924,15,0,0,0,0,0,0,0,0,0,0
